T2	RU_SSBN_Hotel	SSBN	Russia	Submarines/SSBN/Russia/Hotel	OK
T2	US_SSBN_GeorgeWashington	SSBN	USA	Submarines/SSBN/USA/George_Washington	OK
T2	RU_SSN_November	SSN	Russia	Submarines/SSN/Russia/November	OK
T2	UK_SSN_Dreadnought	SSN	UK	Submarines/SSN/UK/Dreadnought	OK
T2	US_SSN_Skipjack	SSN	USA	Submarines/SSN/USA/Skipjack	OK
T3	US_SSBN_EthanAllen	SSBN	USA	Submarines/SSBN/USA/Ethan_Allen	OK
T3	UK_SSN_Valiant	SSN	UK	Submarines/SSN/UK/Valiant	OK
T4	FR_SSBN_LeRedoutable	SSBN	France	Submarines/SSBN/France/Le_Redoutable	OK
T4	RU_SSBN_Yankee	SSBN	Russia	Submarines/SSBN/Russia/Yankee	OK
T4	UK_SSBN_Resolution	SSBN	UK	Submarines/SSBN/UK/Resolution	OK
T4	US_SSBN_Lafayette	SSBN	USA	Submarines/SSBN/USA/Lafayette	OK
T4	US_SSBN_JamesMadison	SSBN	USA	Submarines/SSBN/USA/James_Madison	OK
T4	CN_SSN_Type091	SSN	China	Submarines/SSN/China/Type_091	OK
T4	RU_SSN_Victor	SSN	Russia	Submarines/SSN/Russia/Victor	OK
T4	US_SSN_Sturgeon	SSN	USA	Submarines/SSN/USA/Sturgeon	OK
T5	CN_SSBN_Type092	SSBN	China	Submarines/SSBN/China/Type_092	OK
T5	RU_SSBN_DeltaI	SSBN	Russia	Submarines/SSBN/Russia/Delta_I	OK
T5	RU_SSBN_DeltaII	SSBN	Russia	Submarines/SSBN/Russia/Delta_II	OK
T5	US_SSBN_BenjaminFranklin	SSBN	USA	Submarines/SSBN/USA/Benjamin_Franklin	OK
T5	UK_SSN_Swiftsure	SSN	UK	Submarines/SSN/UK/Swiftsure	OK
T6	RU_SSBN_DeltaIII	SSBN	Russia	Submarines/SSBN/Russia/Delta_III	OK
T6	FR_SSN_Rubis	SSN	France	Submarines/SSN/France/Rubis	OK
T6	RU_SSN_Sierra	SSN	Russia	Submarines/SSN/Russia/Sierra	OK
T6	UK_SSN_Trafalgar	SSN	UK	Submarines/SSN/UK/Trafalgar	OK
T6	US_SSN_LosAngeles	SSN	USA	Submarines/SSN/USA/Los_Angeles	OK
T7	IN_SSBN_Arihant	SSBN	India	Submarines/SSBN/India/Arihant	OK
T7	RU_SSBN_DeltaIV	SSBN	Russia	Submarines/SSBN/Russia/Delta_IV	OK
T7	CN_SSN_Type093	SSN	China	Submarines/SSN/China/Type_093	OK
T7	RU_SSN_Akula	SSN	Russia	Submarines/SSN/Russia/Akula	OK
T8	CN_SSBN_Type094	SSBN	China	Submarines/SSBN/China/Type_094	OK
T8	FR_SSBN_LeTriomphant	SSBN	France	Submarines/SSBN/France/Le_Triomphant	OK
T8	IN_SSBN_Arighaat	SSBN	India	Submarines/SSBN/India/Arighaat	OK
T8	RU_SSBN_Typhoon	SSBN	Russia	Submarines/SSBN/Russia/Typhoon_Project941	OK
T8	UK_SSBN_Vanguard	SSBN	UK	Submarines/SSBN/UK/Vanguard	OK
T8	US_SSBN_Ohio	SSBN	USA	Submarines/SSBN/USA/Ohio	OK
T8	CN_SSN_Type093A	SSN	China	Submarines/SSN/China/Type_093A	OK
T8	US_SSN_Seawolf	SSN	USA	Submarines/SSN/USA/Seawolf	OK
T9	CN_SSBN_Type094A	SSBN	China	Submarines/SSBN/China/Type_094A	OK
T9	IN_SSBN_S4	SSBN	India	Submarines/SSBN/India/S4	OK
T9	RU_SSBN_Borei	SSBN	Russia	Submarines/SSBN/Russia/Borei	OK
T9	CN_SSN_Type093B	SSN	China	Submarines/SSN/China/Type_093B	OK
T9	FR_SSN_Suffren	SSN	France	Submarines/SSN/France/Suffren	OK
T9	RU_SSN_Yasen	SSN	Russia	Submarines/SSN/Russia/Yasen	OK
T9	UK_SSN_Astute	SSN	UK	Submarines/SSN/UK/Astute	OK
T9	US_SSN_Virginia	SSN	USA	Submarines/SSN/USA/Virginia	OK
T10	CN_SSBN_Type096	SSBN	China	Submarines/SSBN/China/Type_096	OK
T10	FR_SSBN_SNLE3G	SSBN	France	Submarines/SSBN/France/SNLE_3G	OK
T10	IN_SSBN_S5	SSBN	India	Submarines/SSBN/India/S5	OK
T10	RU_SSBN_BoreiA	SSBN	Russia	Submarines/SSBN/Russia/BoreiA	OK
T10	UK_SSBN_Dreadnought	SSBN	UK	Submarines/SSBN/UK/Dreadnought	OK
T10	US_SSBN_Columbia	SSBN	USA	Submarines/SSBN/USA/Columbia	OK
T10	CN_SSN_Type095	SSN	China	Submarines/SSN/China/Type_095	OK
T10	RU_SSN_YasenM	SSN	Russia	Submarines/SSN/Russia/YasenM	OK
T10	UK_SSN_AUKUS	SSN	UK	Submarines/SSN/UK/SSNAUKUS	OK
